,Title,Published_date,views,likes,comments,Month
304,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,125798,2583,262,Mar
305,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,330999,8164,235,Mar
306,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,349148,6105,157,Mar
307,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,508377,7365,304,Mar
308,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,1411756,18218,2050,Mar
309,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25899,851,162,Feb
310,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,25892,549,39,Feb
311,Data Analyst Salary in 2020,2020-02-19,8186,156,25,Feb
312,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,14547,625,39,Feb
313,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,49440,1793,251,Feb
314,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,121907,3541,104,Feb
315,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,74906,1696,63,Jan
316,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,2020-01-25,15363,412,22,Jan
317,Data Analyst Salary | 100k with No Experience,2020-01-23,65217,2209,230,Jan
318,Truth About Big Companies | Told by a Fortune 500 Data Analyst,2020-01-21,9138,333,19,Jan
319,Top 3 Data Analyst Skills in 2020,2020-01-17,29475,1416,141,Jan
