,Title,Published_date,views,likes,comments,Month
71,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,8950,286,21,Sep
72,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,13154,907,7,Sep
73,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,16228,413,28,Sep
74,My Very First Video,2023-09-25,8549,480,29,Sep
75,#DataAnalyst #CareerPath,2023-09-22,25713,1984,19,Sep
76,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,44718,1097,52,Sep
77,#Excel #DataAnalyst #DataAnalysis,2023-09-18,13990,1136,20,Sep
78,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,44437,1591,100,Sep
79,#DataAnalysis #DataAnalyst,2023-09-07,19852,1455,23,Sep
80,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,14476,669,30,Sep
81,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,41642,1846,112,Aug
82,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,10465,623,10,Aug
83,#DataAnalyst #DataAnalysis,2023-08-24,19712,1328,53,Aug
84,Regular Expression Use Cases in Python,2023-08-22,9012,212,20,Aug
85,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8465,322,25,Aug
86,#DataAnalystSalary #DataAnalysis,2023-08-17,35451,2676,44,Aug
87,How to Work with Recruiters on LinkedIn,2023-08-15,37151,1901,84,Aug
88,#dataanalysis #dataportfolio,2023-08-14,26847,2458,25,Aug
89,#wife #careerchange #dataanalysis,2023-08-11,19948,1878,51,Aug
90,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,6874,723,44,Aug
91,Regular Expression Character Classes in Python,2023-08-08,10116,180,13,Aug
92,#Recruiters #dataanalysis #data,2023-08-03,16022,1109,24,Aug
93,Regular Expression Metacharacters in Python,2023-08-01,7785,200,8,Aug
94,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,20053,784,41,Jul
95,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,47413,2831,42,Jul
96,Regular Expression Methods in Python,2023-07-25,11796,285,13,Jul
97,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,30778,1220,67,Jul
